Estado,por_des_15,po_per_pob,por_sin_seg,por_car_salud,por_car_alim,por_po_patr,gini,por_car_haci
Aguascalientes,2.578609943,30.53110415,22.3925705,18.84905052,11.8057003,41.90039825,0.422628105,3.346189976
Baja California,4.725790024,36.10980122,23.60297966,23.53793907,11.14999962,40.792099,0.420424193,10.0760498
Baja California Sur,5.381249905,48.06279637,18.18656921,17.60783005,10.15530014,39.34790039,0.443399698,9.154689789
Campeche,12.88436985,60.54584052,18.28322983,20.90539932,21.42420006,52.13570023,0.438454598,26.50017929
Coahuila de Zaragoza,3.869410038,28.80737404,37.28971863,36.88362885,4.39260006,23.82819939,0.351568907,3.057199955
Colima,10.50804043,55.35829157,16.31991959,13.82960987,27.77350044,65.15000153,0.371649712,15.39875031
Chiapas,13.90324974,85.71855161,37.79587936,58.4768219,54.7071991,87.09780121,0.340176105,35.00028992
Chihuahua,3.705640078,44.1499909,20.89551926,15.56637001,4.210599899,24.86400032,0.362986088,5.281449795
Durango,3.481760025,55.29456996,31.0722599,34.78836823,13.35599995,44.44139862,0.409597486,3.275460005
Guanajuato,11.75895977,69.15695011,28.03561974,27.28166962,36.33150101,75.63249969,0.380149901,16.9776001
Guerrero,7.979599953,51.61682158,42.46763992,42.13647842,22.90029907,60.45750046,0.407975286,21.43638039
Hidalgo,15.2571497,70.95349625,38.52169037,39.41109848,25.76280022,63.15019989,0.381743193,7.745840073
Jalisco,10.79354,61.68722645,38.82862854,35.49884033,7.751100063,33.83349991,0.384189606,6.689869881
Mexico,13.26012993,71.76132195,29.17200089,21.61779022,37.26739883,73.1631012,0.384365499,14.12500954
Michoacan de Ocampo,10.82777023,70.76438156,39.36470032,41.88148117,27.6291008,64.60250092,0.402663291,11.75321007
Morelos,11.4551096,53.15166473,34.586689,36.86365128,18.40019989,52.1128006,0.39392221,16.73681068
Nayarit,7.967989922,54.39992539,18.78486061,23.06781006,24.26810074,60.72800064,0.432897091,12.15128994
Nuevo Leon,2.746370077,22.59682149,18.12969971,18.53887939,4.338900089,25.52779961,0.428844303,9.308719635
Oaxaca,26.21501923,87.50690079,97.23246765,97.30734253,56.94409943,89.9598999,0.285067201,8.170840263
Puebla,13.16009998,81.18881502,47.17247009,48.89170837,39.41040039,75.59680176,0.382409304,24.17671967
Queretaro,17.34923935,76.61762377,24.59122086,22.89179993,40.25799942,73.62670135,0.460528791,16.86404037
Quintana Roo,3.471699953,31.7253598,25.86282921,28.12442017,11.11089993,41.49459839,0.39401561,24.16290092
San Luis Potosi,11.59031963,63.25686078,39.60523987,36.89682007,39.70199966,76.31099701,0.400047511,14.37794018
Sinaloa,3.313750029,30.5505348,23.40576935,21.81781006,9.5,40.67419815,0.38523519,5.729939938
Sonora,4.008440018,41.37395702,20.40196991,20.25963974,8.587300301,33.39699936,0.403106809,9.480719566
Tabasco,11.45477009,71.93102722,13.93397999,5.937280178,31.37890053,67.14060211,0.414281994,16.38287926
Tamaulipas,8.610289574,67.41173579,10.53853035,12.00914001,20.81949997,54.96089935,0.389930397,15.80060959
Tlaxcala,2.687170029,46.54433245,35.10886002,32.04571152,5.786499977,27.74250031,0.415054411,7.650169849
Veracruz de Ignacio de la Llave,16.46097946,73.64866281,52.55989075,59.45330048,32.1631012,67.6875,0.384160489,17.52635956
Yucatan,17.38451004,56.99687688,38.42039108,48.69380188,26.23900032,64.44750214,0.316975296,31.65249062
Zacatecas,8.093529701,55.91475691,22.75894928,16.27424049,15.17160034,50.93470001,0.344036907,6.353879929
Aguascalientes,5.497439861,67.11117199,13.76945019,12.26152992,21.99329948,59.17580032,0.343879312,8.930930138
Baja California,2.286710024,30.15390911,23.13471031,22.3259697,6.977099895,34.92649841,0.378035188,3.372900009
Baja California Sur,5.823860168,41.91783241,16.94352913,15.25576973,5.759699821,23.46500015,0.461190104,12.94705009
Campeche,4.997159958,35.24851027,20.02239037,16.85136032,8.932499886,38.67789841,0.409846902,11.99948978
Coahuila de Zaragoza,2.677139997,29.78433338,22.60684967,22.9365406,9.873999596,42.1957016,0.351559013,6.094150066
Colima,3.295609951,27.87660247,16.15205002,14.09922028,8.882699966,37.06470108,0.431303203,4.107649803
Chiapas,20.70664024,81.50044915,30.04801941,33.40024948,46.11309814,79.15319824,0.371157587,44.66633987
Chihuahua,3.814779997,44.09771632,13.86423016,13.36203003,11.30039978,49.0632019,0.334593505,3.413069963
